"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P56277",-0.00812805166899315,0.793242063739683,0.936420877256868,-0.000414317286943707,0.031565445841673,0.989527539820288,0.989527539820288,0,-0.0622814542925725,0.061452819718685,0,0.487202279877572,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8NBM8",0.00611974800431805,0.793285793701666,0.936420877256868,0.0198837601435772,0.0249423462334656,0.425341364531861,0.425341364531861,6.86473509680235,-0.0290936623165051,0.0688762648234027,0,0.408299139218916,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NZ45",0.0100717997612212,0.793531795931246,0.936447401094201,0.0164527430039093,0.0299061120807973,0.5822188924601,0.5822188924601,42.0636529891282,-0.154285624285248,0.155629707960601,0,0.727142934411238,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8TBB1",0.00591063189417883,0.793737685263167,0.936447401094201,0.0101843663790507,0.0229015931671375,0.656535688882673,0.656535688882673,0,-0.0347019314171273,0.0550706641752288,0,0.579027603174692,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P14136",-0.0139620784953763,0.793745107038484,0.936447401094201,-0.00342854284818652,0.0426873981287241,0.935984782129265,0.935984782129265,0,-0.0870943057742083,0.0802372200778352,0,0.760932812154723,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UBG3",-0.0126930622564498,0.794228076115243,0.936845333363376,-0.00361872829474923,0.052856302929689,0.945416662619926,0.945416662619926,0,-0.157737182501845,0.134994130277702,0,0.649627344611714,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9Y6R7",0.00493625333919735,0.794588032227436,0.937098044242553,0.00784989119738307,0.0209535879292832,0.707933935023966,0.707933935023966,63.5533241777246,-0.104822677505132,0.143374022928714,0,0.496254771615554,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q8WW01",0.0113593762323953,0.79492387698058,0.937322231914579,0.0124956213462514,0.0399736956682906,0.754587541916564,0.754587541916564,0,-0.0658513824925629,0.0908426251850657,0,0.663911944562455,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O75478",-0.00648196004394325,0.79542605182582,0.937742427001255,-0.00947311801128541,0.0209628976582642,0.651341555097921,0.651341555097921,0,-0.0505596424330824,0.0316134064105116,0,0.612645339151275,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P02538",-0.0108061636352939,0.795780584510769,0.937988441896766,0.0112792927237248,0.0491591025659564,0.81852334162784,0.81852334162784,0,-0.0850707778178602,0.10762936326531,0,0.507691315370623,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96GX1",0.00950085257541898,0.79618716621249,0.938149533475225,0.00252536227910694,0.0418389297562233,0.951869592082752,0.951869592082752,0,-0.0794774331947919,0.0845281577530058,0,0.508292433535387,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8TCZ2",0.00670785620190018,0.796256597195886,0.938149533475225,0.000336214798645931,0.0211293798233682,0.987304441534925,0.987304441534925,0,-0.0410766086708231,0.041749038268115,0,0.49776186137794,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UKB3",-0.0105325888920458,0.796471913158342,0.938149533475225,-0.00359219689945759,0.0349098117363097,0.918042854425666,0.918042854425666,0,-0.0720141706096983,0.0648297768107831,0,0.65941176431976,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9GZM3",0.014480369914391,0.796629575417081,0.938149533475225,-0.00622496030242844,0.055792939306377,0.911162340978008,0.911162340978008,0,-0.115577111934557,0.1031271913297,0,0.617875183368137,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NZV1",-0.00611819402105111,0.796704746327886,0.938149533475225,-0.0116527439144347,0.0186163336231638,0.531353026686353,0.531353026686353,32.714697357554,-0.0482752189675289,0.0249796450369302,0,0.78241309249343,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P07910",-0.00641544750346328,0.796936843826072,0.938149533475225,-0.00630419160975011,0.0244403835414031,0.796451979528739,0.796451979528739,61.9522239763666,-0.142332705059656,0.180255030042491,1,0.591783258426184,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
