"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P04141",0.0242564385003299,0.0917607966436716,0.131194682795787,0.0252417630240594,0.0140780982077606,0.0729759574096695,0.0729759574096695,0,-0.0023508024339692,0.0528343284820879,0,0.374792979640918,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"O95169",0.0121963002927554,0.0920284154103985,0.131548063904039,0.00642414070715275,0.00673722647809092,0.340322118928772,0.340322118928772,70.0629938060688,-0.0512703942130587,0.095027414972814,0.742265503420495,0.308664071901422,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q6UXB2",-0.0137140117316268,0.092388003484762,0.132032722313445,-0.00375694330499324,0.00790871918117665,0.634759783689688,0.634759783689688,81.5092645770892,-0.117766061900894,0.140164065247914,0.247326434541359,0.250444057790264,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q5TGJ6",-0.0112155635294933,0.0928888157124973,0.13270374995165,-0.0109758700812809,0.00642988794805708,0.087820567919264,0.087820567919264,0,-0.0235782188841009,0.00162647872153912,0,0.314883545459327,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"Q9UBU9",-0.0144511115874022,0.0928988154691848,0.13270374995165,-0.00194739172451293,0.00795741767712879,0.806668135088317,0.806668135088317,61.60222222667,-0.0808323883376759,0.0739191553945863,0.400355556324766,0.261109317097167,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"O60880",-0.0121370962565827,0.0930783852827507,0.132930734122445,-0.0081958812979637,0.00699081670947238,0.241045237141225,0.241045237141225,54.2538304806062,-0.0659263329256151,0.047885706497701,0.198669843242357,0.304492682764123,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P20936",-0.0210652894533839,0.0933428875249639,0.133278887582825,-0.0183851875357885,0.0122330788696533,0.132862865945054,0.132862865945054,76.5204798969087,-0.264403417658153,0.16306047160242,0,0.370213054052446,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q9Y251",0.0117861599070485,0.0935669530059305,0.133569161993594,0.0147530628805201,0.00680053550345245,0.0300525391314149,0.0300525391314149,68.0235966374673,-0.0873261256560874,0.100131852237473,0.165350076721518,0.364902092983315,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P25440",0.0129055176023883,0.0936354365260372,0.133637259720139,0.00909353131421107,0.00727588597987921,0.211366137058272,0.211366137058272,29.2064138743692,-0.0127009108752285,0.0332416437588054,0,0.302825689280552,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96AD5",0.0117564752255014,0.0937732499006548,0.133804253408278,0.00946351079052133,0.00678831061860681,0.163290658055659,0.163290658055659,63.5000048822406,-0.0613245316771451,0.0684975005076842,0.0610436820269235,0.266376637927091,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q5DX21",-0.0487382373990171,0.0938150815103909,0.133834247824606,-0.0522745824933955,0.0289300806414319,0.0707734536289395,0.0707734536289395,29.9475041636469,-0.209903310193885,0.114180724821293,0,0.302529320488026,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"P05556",-0.0221220015106725,0.0940208040301122,0.134097979755523,-0.0256883553584554,0.0126138431023035,0.0416980746014546,0.0416980746014546,50.5490537003265,-0.107930346876155,0.0775291843753513,0,0.356666357623028,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"Q16552|Q96PD4",0.0138821652702363,0.0946153710399978,0.134916064558365,0.0146572446723965,0.00766357784536646,0.0558011907858366,0.0558011907858366,33.8629937952584,-0.000382339232196891,0.0296985149391093,0.0891782595399717,0.274648967080404,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"P09493",0.0174679916453831,0.0949854172233146,0.135413703871234,0.0183556173142692,0.0104155274505275,0.0780132204325558,0.0780132204325558,0,-0.0168711387184827,0.0518427487285073,0,0.326409021293822,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"Q8TCZ2",-0.0114431286107253,0.0950326456946179,0.135451007194612,-0.010060008256847,0.00649069859260834,0.121162764042215,0.121162764042215,48.9338009930222,-0.0552747285223696,0.0477040286274164,0.148123683670496,0.258999199419261,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NPG4",-0.0295996250116969,0.095215987614745,0.135682254897059,-0.022812296062822,0.0169848092670828,0.179239619676912,0.179239619676912,54.0490000403164,-0.142524255119365,0.137889441373734,0.214288838183026,0.273896992564153,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"O00408",-0.0160208741006144,0.0953248488664993,0.135807289113969,-0.014390151360922,0.00917682316173885,0.116858433223361,0.116858433223361,58.7635840758488,-0.102200216196813,0.0724567494508594,0.153601704579805,0.232573597529594,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"O75715",0.0228974823723721,0.0954570011653555,0.135965442855903,0.019519269077392,0.0132359460580529,0.140288757188249,0.140288757188249,34.1484151095247,-0.0648683350406332,0.0902784111004503,0,0.352062052127136,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P14923",0.0287077548951758,0.0960446620152531,0.13677219251995,0.0287388167757706,0.0166381757027363,0.084117080203306,0.084117080203306,23.3346962589368,-0.0496163454610212,0.0916240664455025,0.0534230825249435,0.346918903667244,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"P41134",0.0182179699515206,0.096923759861346,0.137993513320415,0.0199035433375993,0.0106763050474454,0.0622834277411461,0.0622834277411461,31.3494999276692,-0.0480143096204794,0.0795819783335084,0.384630731637731,0.337762977691709,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"Q9BXN2",-0.0125571846113254,0.0970633541582078,0.13816167122431,-0.00595934320411174,0.00714769163154706,0.404425400462158,0.404425400462158,80.2299334572515,-0.172439748745434,0.131930985985177,0.533717168745559,0.258551972153849,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"O60479",0.0142681657103149,0.0971269605306935,0.13822161610376,0.0111801712900558,0.00796132672968238,0.160226537190857,0.160226537190857,76.4356715602757,-0.12314857275088,0.101344566003881,0.121872803734502,0.304053596145213,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P01282",-0.0129763982903457,0.0972478471081805,0.138363032024936,-0.0135285199040895,0.00735477344460851,0.0658533840203423,0.0658533840203423,89.286544248084,-0.263938487627216,0.190998338547137,0.319736533941035,0.332812984915531,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"P31994",0.0386506870553572,0.097510652748107,0.138706261407449,0.0445111834011833,0.0233784287373775,0.0569176768706106,0.0569176768706106,61.2943280292355,-0.120342630421585,0.273667206549149,0.594620195100801,0.31166741265394,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
