"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P19429",0.00746070801786449,0.796952671200653,0.89320366477717,-0.00118984621096747,0.0303960845363684,0.968775007060435,0.968775007060435,68.8648002367635,-0.254336796019811,0.294198728414841,1,0.419159484589819,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q03393",0.00725944591231854,0.797178217510263,0.893279940294895,-0.0234871398788091,0.0233052825121232,0.313548916698371,0.313548916698371,61.5967718329215,-0.185497939900912,0.218427131070917,0,0.448077714932554,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q8TE58",-0.00379012976984909,0.79763138046559,0.893279940294895,0.00063711592156579,0.0129155074751837,0.960656686121113,0.960656686121113,6.61427964153019,-0.0304039105138034,0.0333667771397985,0,0.404699811411574,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q6NXT1",-0.00556539600256531,0.797680119639732,0.893279940294895,-0.00871376534108542,0.0190845675064667,0.647967928055393,0.647967928055393,50.0489290361205,-0.0464430639650346,0.0290497510652686,1,0.379960519889812,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q07837",-0.00678315120208893,0.797716457435318,0.893279940294895,-0.0106378705566205,0.0257722413573228,0.679779042641079,0.679779042641079,28.7780417319248,-0.0612711073514087,0.0399957800958745,1,0.383651634497549,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q9UJW3",-0.00721478863119217,0.79773723060302,0.893279940294895,-0.0131872759748342,0.0275520847384761,0.632201312951858,0.632201312951858,0,-0.0672124485242696,0.0408374137018817,0,0.333998434152397,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P12036",-0.00816699759243679,0.797925433770793,0.893279940294895,-0.004733042520654,0.0311785656612508,0.879341235248321,0.879341235248321,73.7029589337631,-0.447281063225767,0.543760813417659,1,0.493652745730037,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"P25963",-0.00714704857207092,0.79799304260522,0.893279940294895,-0.00452453820276277,0.0249083930998816,0.855859657068373,0.855859657068373,0,-0.0533440915912968,0.0442950151857712,0,0.381026965903112,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O14683",-0.0141186639287148,0.798379252246888,0.893556730107855,-0.00834951156034595,0.0524266652511035,0.873463419948646,0.873463419948646,27.7210830728963,-0.258512215501898,0.184822591921195,0,0.388016182311144,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O00214",-0.00561477052411006,0.799034862370972,0.893808403193926,-0.00865235333088154,0.0207416523933946,0.676569645529738,0.676569645529738,0,-0.049305245001784,0.0320005383400209,0,0.542263562266598,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P78540",0.00748228552002438,0.799151287992789,0.893808403193926,0.0137343799015518,0.0284634855627166,0.629432131784934,0.629432131784934,0,-0.0420530266758486,0.0695217864789522,0,0.454795790374252,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P68871",-0.00968702733431625,0.799170941003929,0.893808403193926,-0.0255660279883722,0.0327889875460595,0.435559319865638,0.435559319865638,44.4795522981256,-0.0901033216553769,0.0389654224769762,1,0.570413688529491,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"P49715",0.00714772421470826,0.799178356683529,0.893808403193926,0.0188064478131037,0.0277513371489766,0.497976400423125,0.497976400423125,24.29351007006,-0.0676843427889549,0.112120168973971,0,0.403571251772192,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O14977",-0.00521353186517312,0.799414877058837,0.893808403193926,-0.0104064997267446,0.0189661547614203,0.583219647783236,0.583219647783236,17.858459393381,-0.0951621754532216,0.0630030007929739,0,0.385622439669184,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q14129",-0.00733978100785806,0.799438024439661,0.893808403193926,-0.013078064644898,0.0275171073925047,0.634594305673557,0.634594305673557,20.041571482149,-0.132804409459279,0.0896730858298129,0,0.393580724496294,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P04066",-0.0137663865907926,0.799848277837761,0.894111641712957,-0.0181915977103498,0.0549478755444408,0.74059154894891,0.74059154894891,0,-0.152672517752569,0.131411264351761,0,0.429996655159192,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
