"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P41217",0.00794095047117094,0.676095966650598,0.825068588268154,0.0109380758766103,0.0187937477272847,0.560562570004763,0.560562570004763,0,-0.0258969928033992,0.0477731445566197,0,0.564761075438535,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P98177",0.015625600767132,0.676257820848828,0.825068588268154,0.0284165513820039,0.034747573038484,0.413471625684663,0.413471625684663,6.5050678897306,-0.0678969776607081,0.122290385330431,0,0.460644130338139,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P20783",-0.0104574704124708,0.67642182610009,0.825068588268154,-0.00245856962742177,0.0252034086157742,0.922290350260975,0.922290350260975,1.76673932483892,-0.0902372563797964,0.0752407905443113,0,0.562374450094452,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O95822",-0.0123507218891862,0.676423911853336,0.825068588268154,0.0144901926791959,0.0269363136144645,0.590616623206571,0.590616623206571,2.91560970880771,-0.0725588171517477,0.118345439021139,0,0.616147162497748,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8IYV9",0.0241191088057753,0.676502358255011,0.825068588268154,0.0421610662756395,0.0633575306236582,0.505764757155246,0.505764757155246,73.8324822706323,-0.417055234707054,0.658894588051406,0,0.495785978645244,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q8IZ26",-0.018675936686241,0.676690919305157,0.825142074715863,-0.0357351689786029,0.045931209329036,0.436560181226311,0.436560181226311,0,-0.125758685029884,0.0542883470726779,0,0.557700680135441,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q05516",-0.00866435084294075,0.677020574184562,0.825387547408705,-0.0040659984187996,0.0185587432029658,0.826581477839926,0.826581477839926,0,-0.0404404666949401,0.0323084698573409,0,0.451486245597718,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q92519",0.00884028781456829,0.677203508898842,0.825454087514869,0.0166399440409099,0.0194120326690311,0.391335796071619,0.391335796071619,0,-0.021406940857106,0.0546868289389258,0,0.539007289453016,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q969T7",0.0178719634226144,0.677604437597177,0.825773286341102,0.0509132912079878,0.0405971078855132,0.209801558495989,0.209801558495989,0,-0.0286555781241051,0.130482160540081,0,0.619135959938419,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q15293",-0.0275546565534923,0.677722190220547,0.825773286341102,-0.0245867930579248,0.0676809966170638,0.716399698286515,0.716399698286515,0,-0.157239108865147,0.108065522749297,0,0.64203528720779,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P55735",-0.00717473915843851,0.678507292026161,0.826573289452593,-0.00694662327133086,0.0172776552922149,0.68764118238618,0.68764118238618,0,-0.0408102053813698,0.0269169588387081,0,0.402780549735533,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
